PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Mag_X,Mag_Y,Mag_Z,Status
64,232322578,0.999864501543441,-0.008076,0.011004,-0.009202,0.078439,-0.004315,0.154047,0.041992,-0.225586,-0.900879,0
65,232339245,0.999870634758820,-0.006922,0.011232,-0.009200,0.072417,-0.010182,0.152220,0.061523,-0.205078,-0.889404,0
66,232355912,0.999877641582225,-0.006113,0.011283,-0.008945,0.070113,-0.007734,0.154698,0.091309,-0.192871,-0.884033,0
67,232372579,0.999886279862379,-0.005197,0.011380,-0.008421,0.062224,-0.016748,0.163654,0.106201,-0.175049,-0.878418,0
68,232389246,0.999901416370804,-0.003570,0.011091,-0.007836,0.049878,-0.021984,0.165842,0.129639,-0.162354,-0.872070,0
69,232405913,0.999911454540895,-0.000273,0.011020,-0.007454,0.045862,-0.017289,0.169543,0.146729,-0.156738,-0.863525,0
70,232422580,0.999911488295027,0.002146,0.011239,-0.006788,0.045861,0.013568,0.170841,0.168945,-0.156250,-0.855713,0
71,232439247,0.999909515776010,0.001450,0.011517,-0.006798,0.038195,0.021197,0.167955,0.189209,-0.154297,-0.846191,0
72,232455914,0.999916041778534,0.002008,0.010688,-0.007045,0.030902,0.015524,0.170099,0.209717,-0.155273,-0.840576,0
73,232472581,0.999916351566144,0.001910,0.010866,-0.006751,0.036474,0.009598,0.163708,0.229980,-0.153320,-0.825684,0
74,232489248,0.999910199644628,0.002296,0.011517,-0.006456,0.038385,-0.005109,0.166274,0.248047,-0.154297,-0.818848,0
75,232505915,0.999906658334462,0.004482,0.011227,-0.006367,0.036281,-0.012188,0.169070,0.264893,-0.155762,-0.806396,0
76,232522582,0.999898339775889,0.005714,0.011536,-0.006130,0.035667,-0.005143,0.164554,0.282715,-0.162109,-0.798340,0
77,232539249,0.999893799056798,0.006247,0.011864,-0.005711,0.027096,0.000643,0.165751,0.303955,-0.169922,-0.783936,0
78,232555916,0.999896622658375,0.006473,0.011576,-0.005552,0.015772,-0.004417,0.166383,0.324219,-0.173828,-0.771484,0
79,232572583,0.999898624372718,0.006575,0.011530,-0.005154,0.008674,0.003177,0.160270,0.345703,-0.179688,-0.758545,0
80,232589250,0.999897720389326,0.006598,0.011775,-0.004728,0.005067,0.003191,0.160544,0.363037,-0.189941,-0.747559,0
81,232605917,0.999908779253463,0.006457,0.010911,-0.004658,-0.001892,0.006686,0.156862,0.380371,-0.197021,-0.735107,0
82,232622584,0.999913794668610,0.005907,0.010883,-0.004365,-0.007529,0.009755,0.148522,0.398682,-0.201904,-0.722168,0
83,232639251,0.999922094752643,0.005519,0.010409,-0.004122,-0.018214,0.012343,0.142992,0.412598,-0.208496,-0.708496,0
84,232655918,0.999928250175166,0.005399,0.009918,-0.003998,-0.028830,0.007757,0.137076,0.429199,-0.214111,-0.700684,0
85,232672585,0.999932986078485,0.006082,0.008988,-0.004032,-0.041353,0.008819,0.127913,0.445068,-0.218994,-0.685791,0
86,232689252,0.999930974928255,0.007381,0.008113,-0.004213,-0.050894,0.010678,0.121272,0.455566,-0.224609,-0.672607,0
87,232705919,0.999938641372691,0.007845,0.006657,-0.004106,-0.057181,0.015121,0.111034,0.467285,-0.234131,-0.664795,0
88,232722586,0.999944327318051,0.008204,0.005333,-0.003951,-0.065947,0.017646,0.102681,0.474854,-0.243896,-0.656738,0
89,232739253,0.999955279613977,0.007734,0.003933,-0.003763,-0.072903,0.022895,0.097498,0.480713,-0.249268,-0.642334,0
90,232755920,0.999960147575461,0.007884,0.002128,-0.003608,-0.075724,0.027645,0.088099,0.487305,-0.259766,-0.643311,0
91,232772587,0.999967202269227,0.007285,-0.000033,-0.003538,-0.082459,0.031064,0.082297,0.487305,-0.268555,-0.639160,0
92,232789254,0.999969530687616,0.006792,-0.001978,-0.003302,-0.082950,0.036169,0.076890,0.487305,-0.274414,-0.640137,0
93,232805921,0.999972923649558,0.005794,-0.003511,-0.002873,-0.080409,0.033304,0.081892,0.480469,-0.277344,-0.640137,0
94,232822588,0.999970685823039,0.005142,-0.005209,-0.002248,-0.071826,0.033628,0.086702,0.476562,-0.282471,-0.646729,0
95,232839255,0.999965886216479,0.004538,-0.006719,-0.001576,-0.068159,0.031794,0.089508,0.469727,-0.288818,-0.653564,0
96,232855922,0.999956662639796,0.004397,-0.008144,-0.001004,-0.063490,0.029557,0.093400,0.455322,-0.297363,-0.659668,0
97,232872589,0.999949337489671,0.004253,-0.009118,-0.000301,-0.052725,0.028317,0.105827,0.442139,-0.299805,-0.667969,0
98,232889256,0.999942037878690,0.004331,-0.009844,0.000506,-0.040545,0.029908,0.119878,0.425537,-0.306152,-0.677490,0
99,232905923,0.999941939247231,0.004446,-0.009733,0.001268,-0.028043,0.026933,0.133675,0.410645,-0.319580,-0.688477,0
100,232922590,0.999937906374953,0.005020,-0.009734,0.002058,-0.019342,0.029604,0.148903,0.398926,-0.328125,-0.695801,0
101,232939257,0.999936195682638,0.005710,-0.009245,0.003089,-0.010827,0.038117,0.157289,0.380859,-0.338135,-0.705811,0
102,232955924,0.999939487087730,0.005693,-0.008615,0.003794,-0.017508,0.053306,0.160567,0.362549,-0.351318,-0.712402,0
103,232972591,0.999943089137897,0.005391,-0.008242,0.004101,-0.019296,0.059695,0.160409,0.354248,-0.364258,-0.714844,0
104,232989258,0.999947807215579,0.005396,-0.007524,0.004320,-0.021939,0.063309,0.158017,0.337158,-0.375732,-0.723633,0
105,233005925,0.999947962801427,0.005603,-0.007133,0.004670,-0.013640,0.072372,0.157099,0.327393,-0.393555,-0.730225,0
106,233022592,0.999951136951472,0.004867,-0.006962,0.005057,-0.008540,0.080097,0.154242,0.310303,-0.405273,-0.730713,0
107,233039259,0.999955087198955,0.003862,-0.006625,0.005569,-0.004202,0.073812,0.151030,0.294189,-0.418213,-0.733154,0
108,233055926,0.999956172578633,0.003274,-0.006280,0.006124,0.003914,0.076023,0.147272,0.283936,-0.427002,-0.735107,0
109,233072593,0.999957432348327,0.002667,-0.006068,0.006419,0.000173,0.076582,0.144637,0.271240,-0.436279,-0.740967,0
110,233089260,0.999960599892726,0.002300,-0.005749,0.006361,0.007853,0.076576,0.135929,0.258545,-0.450684,-0.743408,0
111,233105927,0.999961706431779,0.001798,-0.005777,0.006323,0.003135,0.082308,0.134212,0.244629,-0.457031,-0.747070,0
112,233122594,0.999962429032437,0.001986,-0.005799,0.006129,0.001732,0.080090,0.128751,0.232422,-0.466064,-0.751465,0
113,233139261,0.999966894330304,0.001484,-0.005460,0.005848,0.006828,0.075582,0.128391,0.219238,-0.471924,-0.752441,0
114,233155928,0.999966261462662,0.001360,-0.005844,0.005610,0.006680,0.077198,0.129888,0.203613,-0.478760,-0.755371,0
115,233172595,0.999961765259570,0.001541,-0.006615,0.005507,0.006064,0.077872,0.126766,0.189941,-0.486084,-0.758301,0
116,233189262,0.999959667209343,0.001065,-0.007094,0.005405,0.008194,0.084976,0.124721,0.176514,-0.493652,-0.762939,0
117,233205929,0.999960253675128,0.001258,-0.007297,0.004966,0.011620,0.087052,0.129008,0.160400,-0.498047,-0.768311,0
118,233222596,0.999959604923665,0.001219,-0.007629,0.004593,0.025212,0.096336,0.128289,0.144775,-0.504395,-0.772217,0
119,233239263,0.999961846667173,0.000450,-0.007631,0.004228,0.022982,0.099535,0.131449,0.129395,-0.511475,-0.775635,0
120,233255930,0.999957648608847,0.000409,-0.008425,0.003682,0.022032,0.095110,0.128798,0.112305,-0.512207,-0.777344,0
121,233272597,0.999957563846274,0.000415,-0.008585,0.003316,0.030715,0.087689,0.131277,0.095703,-0.515625,-0.781738,0
